what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1301918714424
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1301918714425
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1301918714425
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1301918714427
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1301918714428
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1301918714428
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1301918714429
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1301918714430
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1301918714431
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1301918714432
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1301918714433
os,sysinfo,,,"win32",1301918714439
arch,sysinfo,,,"x86",1301918714439
ws,sysinfo,,,"win32",1301918714439
locale,sysinfo,,,"no_NO",1301918714439
processors,sysinfo,,,"2",1301918714440
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1301918714440
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1301918714440
java.specification.name,sysinfo,,,"Java Platform API Specification",1301918714440
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1301918714440
java.specification.version,sysinfo,,,"1.6",1301918714440
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1301918714440
java.version,sysinfo,,,"1.6.0_24",1301918714440
java.vm.info,sysinfo,,,"mixed mode, sharing",1301918714440
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1301918714440
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1301918714440
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1301918714440
java.vm.specification.version,sysinfo,,,"1.0",1301918714440
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1301918714440
java.vm.version,sysinfo,,,"19.1-b02",1301918714440
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301918725477
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301918726802
started,bundle,org.eclipse.jgit,0.11.3,"org.eclipse.jgit",1301918726827
started,bundle,org.eclipse.egit.ui,0.11.3,"org.eclipse.egit.ui",1301918726897
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1301918726972
started,bundle,org.eclipse.egit.core,0.11.3,"org.eclipse.egit.core",1301918727020
opened,view,org.eclipse.egit.ui,0.11.3,"org.eclipse.egit.ui.RepositoriesView",1301918727234
opened,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1301918727343
activated,perspective,org.eclipse.egit.ui,0.11.3,"org.eclipse.egit.ui.GitRepositoryExploring",1301918727369
activated,view,org.eclipse.egit.ui,0.11.3,"org.eclipse.egit.ui.RepositoriesView",1301918727399
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.perspectives.showPerspective",1301918727463
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.perspectives.showPerspective",1301918727463
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301918727572
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301918729221
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301918737527
started,bundle,org.eclipse.equinox.security.ui,1.0.200.v20100503,"org.eclipse.equinox.security.ui",1301918757320
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301918757474
executed,command,org.eclipse.egit.ui,0.11.3,"org.eclipse.egit.ui.RepositoriesViewClone",1301918757487
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1301918757781
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1301918757814
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301918757821
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301918757868
error,log,,,"java.lang.NullPointerException",1301918757934
error,log,,,"java.lang.NullPointerException",1301918757936
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301918762067
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301918796373
executed,command,org.eclipse.egit.ui,0.11.3,"org.eclipse.egit.ui.RepositoriesViewClone",1301918796407
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301918796728
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301918833075
executed,command,org.eclipse.egit.ui,0.11.3,"org.eclipse.egit.ui.RepositoriesViewFetchConfigured",1301918845576
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301918845857
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301918846484
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301918846586
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301918850242
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301918873453
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301918873493
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301918873510
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301918873552
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301918873572
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301918873615
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301918873632
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301918873672
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301918873760
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301918883916
executed,command,org.eclipse.egit.ui,0.11.3,"org.eclipse.egit.ui.RepositoriesViewFetch",1301918883938
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301918884542
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301918894574
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301918894751
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301918900285
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301918905207
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1301918920370
started,bundle,org.eclipse.jsch.ui,1.1.300.I20100505-1245,"org.eclipse.jsch.ui",1301918921920
error,log,,,"git@github.com:Ulvemannen/JavaProject.git: Auth fail",1301918923076
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301918928396
executed,command,org.eclipse.egit.ui,0.11.3,"org.eclipse.egit.ui.FetchGerritChange",1301918928415
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301918950207
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301918951206
executed,command,org.eclipse.egit.ui,0.11.3,"org.eclipse.egit.ui.RepositoriesViewDelete",1301918951224
executed,command,org.eclipse.egit.ui,0.11.3,"org.eclipse.egit.ui.RepositoriesViewFetchConfigured",1301918955876
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301918956160
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301918956776
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1301918956844
